sentence,label
"오늘 왜 이렇게 말이 없어?",부정
"데이트 너무 즐거웠어!",긍정
"밥 먹었어?",중립
"너무 보고 싶었어.",긍정
"왜 자꾸 무시하는 거야?",부정
"사랑해!",긍정
"알겠어. 그냥 쉬자.",부정
"오늘 영화 진짜 재밌었지?",긍정
"연락 좀 자주 해줄래?",부정
"고마워 항상 옆에 있어줘서.",긍정
"잘자~",중립
"진짜 실망이야",부정
"다음에 또 보자!",긍정
"   ",중립
"말투가 왜 그래?",부정
"커피 마시러 갈래?",중립
"기분 좋은 하루였어.",긍정
"그래, 이해할게.",중립
"화났어?",부정
"나도 좋아해~",긍정
"네 목소리 들으니까 마음이 편해져.",긍정
"오늘 무슨 생각하고 있었어?",중립
"네가 없으면 허전해.",부정
"우리 함께 있으면 시간이 금방 가는 것 같아.",긍정
"조금만 더 기다려줄 수 있을까?",중립
"왜 내 말을 안 들어줘?",부정
"오늘 너 때문에 웃었어.",긍정
"답장이 너무 늦어서 걱정했어.",부정
"우리 다음 주에 데이트 계획 세워볼까?",긍정
"그냥 네 생각만 하면 힘이 나.",긍정
"네가 나한테 너무 소홀한 것 같아.",부정
"지금 기분 어때?",중립
"네가 곁에 있어서 행복해.",긍정
"오늘 하루 어땠어?",중립
"말하지 않으면 모르는 거야.",부정
"우리 곧 만나서 맛있는 거 먹자!",긍정
"요즘 왜 이렇게 바빠?",중립
"가끔은 네가 너무 멀게 느껴져.",부정
"네 웃는 얼굴이 정말 좋아.",긍정
"내 마음 좀 이해해 줘.",부정
"네가 있어서 든든해.",긍정
"오늘 하루도 고생 많았어.",긍정
"너랑 있으면 시간이 너무 빨리 가.",긍정
"항상 네 생각만 해.",긍정
"네 미소를 보면 기분이 좋아져.",긍정
"함께 있어서 행복해.",긍정
"오늘도 좋은 하루 보내!",긍정
"너랑 이야기하는 게 즐거워.",긍정
"네 덕분에 힘이 나.",긍정
"네가 내 옆에 있어줘서 고마워.",긍정
"왜 아무 말도 안 해?",부정
"자꾸 피하는 것 같아서 속상해.",부정
"네가 변한 것 같아.",부정
"요즘 연락이 너무 뜸해.",부정
"내 말이 그렇게 어려워?",부정
"너무 무관심한 것 같아.",부정
"왜 이렇게 차갑게 대하는 거야?",부정
"네가 나를 신경 안 쓰는 것 같아.",부정
"자꾸 실망하게 돼.",부정
"네가 나를 이해하지 못하는 것 같아.",부정
"뭐 하고 있었어?",중립
"오늘 날씨 어때?",중립
"점심은 먹었니?",중립
"집에 잘 들어갔어?",중립
"오늘 몇 시에 만날까?",중립
"주말에 뭐 할 거야?",중립
"지금 어디야?",중립
"오늘 일정 어떻게 돼?",중립
"내일 시간 괜찮아?",중립
"오늘은 그냥 쉬고 싶어.",중립